ISIN,Name,Weight (%),CI (tCO2e/MUSD),WACI contrib
PEP702101002,ENGIE ENERGIA PERU,3.6831,3415.7,125.8033
PK0053401011,FAUJI FERTILIZER COMPANY,2.5671,3458.0,88.7703
PHY5764J1483,MANILA ELECTRIC,3.2881,1669.8,54.9058
CNE1000002S8,COSCO SHIP.EN.TRSP. 'H',3.1546,1283.0,40.4731
TW0002412004,CHUNGHWA TELECOM,17.2478,97.1,16.7436
PEP700511004,ORYGEN PERU,0.7784,2032.3,15.8203
TW0004904008,FAR EASTONE TELECOM.,13.9479,98.4,13.7293
PHY751061151,SAN MIGUEL,0.8936,958.8,8.5675
INE059A01026,CIPLA,2.6441,308.3,8.1507
INE361B01024,DIVIS LABORATORIES,0.8919,762.8,6.8033
